key,score,victim,attacker
"('0xa46c421005de2f70b4c8fc334b2aac36ce527bd9efbe32a7b291f63a326a8d0e', 190)",3,0x3b21eda5c20d85372eaf61e0e6b3ea9b9afb0b5a,0x414d45f73017a680374f8a5874d1b87a34e0b4b2
"('0x50194649ea3670c895413df1262f51860ec31d011844c258ef5193031c310df3', 86)",4,0x7f4a042dd65cefe74552c63cc0221c18dbb43e21,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x3a7afa13e8a9876bda46396397b71a4208b4e2b40c4b5d1fab0cc359c7291419', 79)",4,0x320f08a6638f27c3e514a37bc9d0439a580027a4,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x197efebb0ce0a660d3e0cd8e61bae45d1a4a0da0c13eca4d19a37fccf18471ac', 16)",3,0x3c11caacc9fc70d9130792c39702c5f96ce68a93,0xa811bdc0edb7d251284e9fd7f9afdc902c09db69
"('0x008a9f96178d93813cc77d2dd0c566c6e3b04e8953c4e9d7fbffbdddcbace49c', 67)",4.0,0x2895730d1f120513105c11f3394c818edc7e7710,0xcebd7a94216226b4b4e337e1336a81de20b8cf62
"('0xb864af531bec5a4e332985779736080a2c74d668183de225ae303982a81d99f8', 6)",3,0x3b21eda5c20d85372eaf61e0e6b3ea9b9afb0b5a,0x96d31fb59c856ecbd0ce8f8f0d14593a3322a5fb
"('0x06f2b9490788ae1f2820507b2b7fc98ed63663d89b664af51c1b9bafd6d9f6de', 1)",3,0x0f021a61a6bf53a3873132291ecb64938b76d977,0x6219f06135b79705d34f5261852e9f6b98821e1f
"('0x61916bd0a771fdb0cc2e347f1bca7d37d4691722734dbca2822e4d03fb92e190', 3)",3,0x3c11caacc9fc70d9130792c39702c5f96ce68a93,0x268c0a672d61384560ac6998a65ac015d15a74a8
"('0xbb840d5e6c1e0547ea522eeca99820c7008b63a44ca3cca93f038e22fff0dec5', 68)",4,0xc65aab5aca75dc2e3d72ee33c986886e4eab3b05,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x254fa0092b623c503c706856b22b6f508fc9ce509a2efa80f243e7a3a67b5529', 74)",4.0,0x3b21eda5c20d85372eaf61e0e6b3ea9b9afb0b5a,0x3b26e2962d76af9278673b00d74fbec53c61c303
"('0xcb47999a2b43e6284a144c46eb15889cac6c66b8c1f18403a216c26cc632d283', 42)",3,0xc929935c6d780e036ae5c3a0f78e628a10df677b,0x4566683a61bdb5197cc9d1bcceab80ad7c81ce9e
"('0x75b89c7a6015f7924a2ccd1308c7795e4efc4d0c51bcd17eaba5eb47cc0b4c1c', 100)",4,0xbb4338fb24ad9ab05d62e2da1d67853834eae0b6,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0xd40fb9e071255575ef8770f8625203a09ad0447275077953c958bdf67f6de9c0', 103)",3,0xa815e2ed7f7d5b0c49fda367f249232a1b9d2883,0x538e8faf00f5dd407773e7c28a40149856193a88
"('0xfd3ae303f24d1c50aa3add777f5aaf3fd0da877d5036d43953907c53bf69347d', 104)",3,0x6219f06135b79705d34f5261852e9f6b98821e1f,0x2a98158166be71d21dd97e248ba670211df9a73c
"('0x870b7d3c88c3e7db6351c8dfc491574296207e70a422c06960a9a3952a97de68', 146)",3,0x3b21eda5c20d85372eaf61e0e6b3ea9b9afb0b5a,0x360734119556c3c55bd9e5dffc846a71bb568142
"('0x9deb30e59d94e6b654acf075067b0090a892eb926df0fa41b508239d19390803', 7)",3,0x3b21eda5c20d85372eaf61e0e6b3ea9b9afb0b5a,0xdad796e2e01de6d7593ef5dc629a18a147882dc2
"('0xa44520a423e90931b8fa9ab0ee45b09f08485bebabc51644985cd8f5a1b5925a', 29)",3,0xf71205d100171472328ba539bf7d956ff41bd9ab,0x82b6960fd11b11e3bbf62bb5aeb5cffd63b468de
"('0x20c947fa462b08411daea307e6a3c4de8fe0767c70da4799ac8fa43ffb9ef0e7', 25)",3,0x2a98158166be71d21dd97e248ba670211df9a73c,0x6219f06135b79705d34f5261852e9f6b98821e1f
"('0xd93681b8b84b7c1a5560c672da5d812f98d104d269b3fd3e2cbc7f00961dea37', 52)",5.0,0x0f7cc8a43c8c3ab60557868c04b1c0262ccada34,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0xc2c0806325f624d4daf022b2318ebdb78f15cf21f5bdf3721c63649882c5400e', 94)",4,0x171be09e1d1288727012300943a2f0dd83252517,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x212db562e80fa68e487faf6c7036a7b7db669c002291144f17e72977549c55c9', 75)",4,0xa8892a4d03f0c194282c8f08c9639111ae43663f,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x234eb3bbfec77532c9b8418688518adc77474ac1487f042ceadc551d215d831a', 34)",3,0x3c11caacc9fc70d9130792c39702c5f96ce68a93,0xe12ef1adc56c5886cc37a80a8bcb51d82fd7d5fd
"('0x5b309be033879e53a0f79dfc080b0c3a218cb61c0cd07a71ad079cb831d9ed53', 66)",4,0xe787a0a065740044402624e7ea439fc80d3ec98d,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0xb301a26e11eb8b8813b4004fa1124f8633fada5efcf2728c0e0aa2c428dc834b', 24)",3,0xde79dc7e6806e45edcb8e89eea2380b3bb6d7ebf,0xde759b830e1bf7116b6189f98b5c3a4f5fb8b59b
"('0x11f8de21b97e8423da2fdff62cdf15f3ee8189bf4a65504c644459d670cce202', 65)",4,0x705fb70e680c41034d8fb7d5762984fba09804ba,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
